Jobs,Chance
0,4.67042e-101
1,2.36125e-100
2,8.36094e-100
3,1.57647e-99
4,5.39664e-99
5,8.71926e-99
6,2.94109e-98
7,4.39689e-98
8,1.47069e-97
9,2.09627e-97
10,6.97297e-97
11,9.61777e-97
12,3.18651e-96
13,4.28905e-96
14,1.4167e-95
15,1.87065e-95
16,6.16376e-95
17,8.01212e-95
18,2.63461e-94
19,3.3796e-94
20,1.10938e-93
21,1.40684e-93
22,4.61103e-93
23,5.7884e-93
24,1.89462e-92
25,2.35679e-92
26,7.70465e-92
27,9.5047e-92
28,3.10371e-91
29,3.79955e-91
30,1.23943e-90
31,1.50648e-90
32,4.90946e-90
33,5.92723e-90
34,1.92984e-89
35,2.31511e-89
36,7.5312e-89
37,8.98e-89
38,2.91883e-88
39,3.46013e-88
40,1.12377e-87
41,1.32474e-87
42,4.29913e-87
43,5.04057e-87
44,1.63458e-86
45,1.90645e-86
46,6.17785e-86
47,7.16864e-86
48,2.32134e-85
49,2.68023e-85
50,8.67302e-85
51,9.96516e-85
52,3.22241e-84
53,3.68482e-84
54,1.19073e-83
55,1.35521e-83
56,4.37619e-83
57,4.95766e-83
58,1.59977e-82
59,1.80406e-82
60,5.81716e-82
61,6.53032e-82
62,2.10405e-81
63,2.35138e-81
64,7.56971e-81
65,8.42161e-81
66,2.7086e-80
67,2.99988e-80
68,9.63809e-80
69,1.0626e-79
70,3.40969e-79
71,3.74176e-79
72,1.19883e-78
73,1.30928e-78
74,4.18684e-78
75,4.54945e-78
76,1.45126e-77
77,1.56834e-77
78,4.98668e-77
79,5.35617e-77
80,1.6955e-76
81,1.80824e-76
82,5.68865e-76
83,6.01442e-76
84,1.87529e-75
85,1.96042e-75
86,6.03149e-75
87,6.20652e-75
88,1.8697e-74
89,1.87791e-74
90,5.45664e-74
91,5.2534e-74
92,1.42124e-73
93,1.24747e-73
94,2.97984e-73
95,2.54717e-73
96,5.38655e-73
97,5.09518e-73
98,9.42334e-73
99,9.92822e-73
100,1
101,4.94182e-33
102,3.00086e-71
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
