Index,Action number, actual_action dim1, actual_action dim2, cores in use dim1, cores in use dim2, number of jobs allocated, jobs in the system 
0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,1
2,1,0,0,0,0,0,2
3,1,0,0,0,0,0,3
4,8,0;0;0;0;1,0,0,0,1,3
5,8,0;0;0;0;1,0,0,0,1,4
6,218,0;0;0;0;1,0;0;0;0;1,0,0,2,4
7,352,0;3;0;0;1,0;0;0;0;1,0,0,5,2
8,526,0;4;0;0;1,0;0;0;0;1,0,0,6,2
9,526,0;4;0;0;1,0;0;0;0;1,0,0,6,3
10,526,0;4;0;0;1,0;0;0;0;1,0,0,6,4
11,526,0;4;0;0;1,0;0;0;0;1,0,0,6,5
12,526,0;4;0;0;1,0;0;0;0;1,0,0,6,6
13,727,0;4;0;0;1,0;2;1,0,0,8,5
14,727,0;4;0;0;1,0;2;1,0,0,8,6
15,727,0;4;0;0;1,0;2;1,0,0,8,7
16,727,0;4;0;0;1,0;2;1,0,0,8,8
17,727,0;4;0;0;1,0;2;1,0,0,8,9
18,727,0;4;0;0;1,0;2;1,0,0,8,10
19,727,0;4;0;0;1,0;2;1,0,0,8,11
20,727,0;4;0;0;1,0;2;1,0,0,8,12
21,727,0;4;0;0;1,0;2;1,0,0,8,13
22,727,0;4;0;0;1,0;2;1,0,0,8,14
23,727,0;4;0;0;1,0;2;1,0,0,8,15
24,727,0;4;0;0;1,0;2;1,0,0,8,16
25,727,0;4;0;0;1,0;2;1,0,0,8,17
26,727,0;4;0;0;1,0;2;1,0,0,8,18
27,727,0;4;0;0;1,0;2;1,0,0,8,19
28,727,0;4;0;0;1,0;2;1,0,0,8,20
29,727,0;4;0;0;1,0;2;1,0,0,8,21
30,727,0;4;0;0;1,0;2;1,0,0,8,22
31,727,0;4;0;0;1,0;2;1,0,0,8,23
32,727,0;4;0;0;1,0;2;1,0,0,8,24
33,727,0;4;0;0;1,0;2;1,0,0,8,25
34,727,0;4;0;0;1,0;2;1,0,0,8,26
35,727,0;4;0;0;1,0;2;1,0,0,8,27
36,727,0;4;0;0;1,0;2;1,0,0,8,28
37,727,0;4;0;0;1,0;2;1,0,0,8,29
38,727,0;4;0;0;1,0;2;1,0,0,8,30
39,727,0;4;0;0;1,0;2;1,0,0,8,31
40,727,0;4;0;0;1,0;2;1,0,0,8,32
41,727,0;4;0;0;1,0;2;1,0,0,8,33
42,727,0;4;0;0;1,0;2;1,0,0,8,34
43,727,0;4;0;0;1,0;2;1,0,0,8,35
44,727,0;4;0;0;1,0;2;1,0,0,8,36
45,727,0;4;0;0;1,0;2;1,0,0,8,37
46,727,0;4;0;0;1,0;2;1,0,0,8,38
47,727,0;4;0;0;1,0;2;1,0,0,8,39
48,727,0;4;0;0;1,0;2;1,0,0,8,40
49,727,0;4;0;0;1,0;2;1,0,0,8,41
50,727,0;4;0;0;1,0;2;1,0,0,8,42
51,727,0;4;0;0;1,0;2;1,0,0,8,43
52,727,0;4;0;0;1,0;2;1,0,0,8,44
53,727,0;4;0;0;1,0;2;1,0,0,8,45
54,727,0;4;0;0;1,0;2;1,0,0,8,46
55,727,0;4;0;0;1,0;2;1,0,0,8,47
56,727,0;4;0;0;1,0;2;1,0,0,8,48
57,727,0;4;0;0;1,0;2;1,0,0,8,49
58,727,0;4;0;0;1,0;2;1,0,0,8,50
59,727,0;4;0;0;1,0;2;1,0,0,8,51
60,727,0;4;0;0;1,0;2;1,0,0,8,52
61,727,0;4;0;0;1,0;2;1,0,0,8,53
62,727,0;4;0;0;1,0;2;1,0,0,8,54
63,727,0;4;0;0;1,0;2;1,0,0,8,55
64,727,0;4;0;0;1,0;2;1,0,0,8,56
65,727,0;4;0;0;1,0;2;1,0,0,8,57
