Jobs,Chance
0,0.345335
1,0.372025
2,0.185946
3,0.0749326
4,0.0178045
5,0.0033332
6,0.000536633
7,7.54549e-05
8,1.05082e-05
9,1.27256e-06
10,1.36975e-07
11,1.48863e-08
12,1.62547e-09
13,1.78841e-10
14,1.98578e-11
15,2.22825e-12
16,2.52951e-13
17,2.90794e-14
18,3.38829e-15
19,4.00397e-16
20,4.8002e-17
21,5.83834e-18
22,7.20172e-19
23,9.00382e-20
24,1.13994e-20
25,1.4599e-21
26,1.88899e-22
27,2.46637e-23
28,3.24547e-24
29,4.2992e-25
30,5.72709e-26
31,7.66497e-27
32,1.02983e-27
33,1.388e-28
34,1.87556e-29
35,2.53962e-30
36,3.4445e-31
37,4.67792e-32
38,6.35957e-33
39,8.65267e-34
40,1.17798e-34
41,1.60446e-35
42,2.18607e-36
43,2.97924e-37
44,4.06086e-38
45,5.53573e-39
46,7.54666e-40
47,1.02883e-40
48,1.40257e-41
49,1.91203e-42
50,2.60642e-43
51,3.5528e-44
52,4.84253e-45
53,6.60007e-46
54,8.99497e-47
55,1.22582e-47
56,1.67046e-48
57,2.2763e-49
58,3.10179e-50
59,4.22658e-51
60,5.75924e-52
61,7.84779e-53
62,1.06941e-53
63,1.45733e-54
64,1.98611e-55
65,2.70697e-56
66,3.68985e-57
67,5.03023e-58
68,6.85852e-59
69,9.3529e-60
70,1.27569e-60
71,1.74037e-61
72,2.37488e-62
73,3.2416e-63
74,4.42595e-64
75,6.04499e-65
76,8.25924e-66
77,1.1289e-66
78,1.54365e-67
79,2.11175e-68
80,2.89033e-69
81,3.95802e-70
82,5.42315e-71
83,7.43504e-72
84,1.01997e-72
85,1.40018e-73
86,1.92348e-74
87,2.64432e-75
88,3.63815e-76
89,5.0096e-77
90,6.90398e-78
91,9.52323e-79
92,1.31485e-79
93,1.81713e-80
94,2.51381e-81
95,3.48121e-82
96,4.82605e-83
97,6.69776e-84
98,9.30585e-85
99,1.29444e-85
100,1.80268e-86
101,2.51346e-87
102,3.50876e-88
103,4.9045e-89
104,6.86853e-90
105,9.83081e-91
106,8.44005e-92
107,9.53248e-93
108,4.19923e-95
109,3.98491e-103
110,5.16661e-108
111,0
112,0
113,0
114,0
