Jobs,Chance
0,0.00469498
1,0.0349676
2,0.069328
3,0.096941
4,0.125376
5,0.123633
6,0.112733
7,0.0992798
8,0.0796324
9,0.060801
10,0.0463501
11,0.0352862
12,0.0268323
13,0.0203835
14,0.0154712
15,0.011734
16,0.00889386
17,0.00673735
18,0.00510124
19,0.00386081
20,0.00292092
21,0.00220912
22,0.00167031
23,0.0012626
24,0.000954198
25,0.00072099
26,0.000544687
27,0.000411434
28,0.00031074
29,0.000234662
30,0.000177192
31,0.000133785
32,0.000101004
33,7.6249e-05
34,5.75579e-05
35,4.34461e-05
36,3.27926e-05
37,2.47504e-05
38,1.86797e-05
39,1.40976e-05
40,1.06391e-05
41,8.02885e-06
42,6.05886e-06
43,4.57213e-06
44,3.45015e-06
45,2.60346e-06
46,1.96451e-06
47,1.48236e-06
48,1.11853e-06
49,8.43987e-07
50,6.36824e-07
51,4.80507e-07
52,3.62557e-07
53,2.73558e-07
54,2.06405e-07
55,1.55735e-07
56,1.17504e-07
57,8.86576e-08
58,6.68925e-08
59,5.04705e-08
60,3.80799e-08
61,2.87311e-08
62,2.16774e-08
63,1.63554e-08
64,1.234e-08
65,9.3104e-09
66,7.02457e-09
67,5.29994e-09
68,3.99872e-09
69,3.01697e-09
70,2.27625e-09
71,1.71739e-09
72,1.29574e-09
73,9.77608e-10
74,7.37585e-10
75,5.56492e-10
76,4.19861e-10
77,3.16776e-10
78,2.39e-10
79,1.8032e-10
80,1.36048e-10
81,1.02645e-10
82,7.74429e-11
83,5.84288e-11
84,4.40831e-11
85,3.32596e-11
86,2.50936e-11
87,1.89325e-11
88,1.42841e-11
89,1.0777e-11
90,8.13096e-12
91,6.1346e-12
92,4.6284e-12
93,3.49202e-12
94,2.63463e-12
95,1.98773e-12
96,1.49971e-12
97,1.13158e-12
98,8.53722e-13
99,6.43805e-13
100,4.85843e-13
101,3.67365e-13
102,2.77226e-13
103,2.06135e-13
104,1.55948e-13
105,1.25114e-13
106,1.03247e-13
107,6.1648e-14
108,5.15739e-14
109,0
110,0
111,0
112,0
113,0
114,0
