Jobs,Chance
0,0.00479776
1,0.0352308
2,0.0697779
3,0.0982531
4,0.128348
5,0.127019
6,0.11512
7,0.10064
8,0.0799979
9,0.0604206
10,0.045537
11,0.0342501
12,0.0257101
13,0.0192619
14,0.0144024
15,0.0107472
16,0.00800291
17,0.00594629
18,0.00440796
19,0.00325959
20,0.0024041
21,0.00176821
22,0.00129667
23,0.000947877
24,0.000690586
25,0.000501344
26,0.000362589
27,0.000261192
28,0.00018736
29,0.000133804
30,9.51133e-05
31,6.72815e-05
32,4.73516e-05
33,3.31483e-05
34,2.3077e-05
35,1.59731e-05
36,1.09899e-05
37,7.51448e-06
38,5.1051e-06
39,3.44517e-06
40,2.30899e-06
41,1.53652e-06
42,1.01498e-06
43,6.65402e-07
44,4.32823e-07
45,2.79277e-07
46,1.78711e-07
47,1.13384e-07
48,7.13063e-08
49,4.44391e-08
50,2.74379e-08
51,1.6779e-08
52,1.01598e-08
53,6.08961e-09
54,3.61198e-09
55,2.11943e-09
56,1.22991e-09
57,7.05608e-10
58,4.00075e-10
59,2.24105e-10
60,1.23974e-10
61,6.77038e-11
62,3.64856e-11
63,1.93941e-11
64,1.01641e-11
65,5.24942e-12
66,2.67047e-12
67,1.33743e-12
68,6.5906e-13
69,3.19373e-13
70,1.52099e-13
71,7.11418e-14
72,3.26584e-14
73,1.47033e-14
74,6.48694e-15
75,2.80223e-15
76,1.18416e-15
77,4.89025e-16
78,1.97153e-16
79,7.7504e-17
80,2.96719e-17
81,1.10476e-17
82,3.99419e-18
83,1.39991e-18
84,4.74761e-19
85,1.5547e-19
86,4.90452e-20
87,1.48654e-20
88,4.31595e-21
89,1.19613e-21
90,3.15152e-22
91,7.85643e-23
92,1.84247e-23
93,4.03652e-24
94,8.18954e-25
95,1.52166e-25
96,2.55119e-26
97,3.78183e-27
98,4.80772e-28
99,4.99942e-29
100,3.86621e-30
101,1.81906e-31
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
