Index,Chance
0,4.67042e-101
1,4.15937e-101
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,4.57381e-75
94,1.19964e-74
95,2.33728e-74
96,7.97404e-74
97,1.44917e-73
98,2.89273e-73
99,4.4496e-73
100,1
101,8.42495e-101
102,3.85838e-100
103,4.05526e-100
104,1.37637e-99
105,2.1276e-99
106,7.1429e-99
107,1.0401e-98
108,3.46845e-98
109,4.85664e-98
110,1.61205e-97
111,2.19466e-97
112,7.25947e-97
113,9.67267e-97
114,3.19082e-96
115,4.17871e-96
116,1.37541e-95
117,1.77555e-95
118,5.83321e-95
119,7.43819e-95
120,2.43971e-94
121,3.07766e-94
122,1.00802e-93
123,1.25945e-93
124,4.11974e-93
125,5.10273e-93
126,1.66718e-92
127,2.04855e-92
128,6.68585e-92
129,8.15462e-92
130,2.65874e-91
131,3.2204e-91
132,1.049e-90
133,1.2623e-90
134,4.10808e-90
135,4.91277e-90
136,1.59747e-89
137,1.89906e-89
138,6.17008e-89
139,7.29318e-89
140,2.36771e-88
141,2.78332e-88
142,9.02914e-88
143,1.05576e-87
144,3.42237e-87
145,3.98101e-87
146,1.28957e-86
147,1.49251e-86
148,4.83128e-86
149,5.56405e-86
150,1.79984e-85
151,2.06283e-85
152,6.66813e-85
153,7.60628e-85
154,2.45703e-84
155,2.78966e-84
156,9.00499e-84
157,1.01771e-83
158,3.28276e-83
159,3.69317e-83
160,1.19039e-82
161,1.33317e-82
162,4.29361e-82
163,4.78702e-82
164,1.54035e-81
165,1.70965e-81
166,5.4958e-81
167,6.07228e-81
168,1.94974e-80
169,2.14438e-80
170,6.87589e-80
171,7.52669e-80
172,2.40932e-79
173,2.62441e-79
174,8.38277e-79
175,9.08332e-79
176,2.89319e-78
177,3.11698e-78
178,9.89058e-78
179,1.05861e-77
180,3.34161e-77
181,3.54879e-77
182,1.11196e-76
183,1.16936e-76
184,3.62445e-76
185,3.76151e-76
186,1.14665e-75
187,1.16727e-75
188,3.46279e-75
189,3.41614e-75
190,9.6444e-75
191,8.95844e-75
